Date,Open,High,Low,Close,Adj Close,Volume
2018-06-26,9200.000000,9225.000000,7550.000000,8000.000000,7505.454590,1883700
2018-06-27,8000.000000,8800.000000,8000.000000,8450.000000,7927.636230,610600
2018-06-28,8450.000000,8700.000000,7125.000000,7525.000000,7059.818359,818400
2018-06-29,7600.000000,7700.000000,6400.000000,6450.000000,6051.272949,1154600
2018-07-02,6450.000000,7400.000000,5850.000000,5900.000000,5535.272949,1069300
2018-07-03,5900.000000,6100.000000,4720.000000,4720.000000,4428.218262,1400100
2018-07-04,4720.000000,5900.000000,3900.000000,5900.000000,5535.272949,1716400
2018-07-05,6300.000000,7000.000000,5900.000000,6525.000000,6121.636230,2065400
2018-07-06,6600.000000,6600.000000,5500.000000,5500.000000,5160.000000,700600
2018-07-09,5525.000000,6200.000000,5200.000000,5700.000000,5347.636230,352500
2018-07-10,5750.000000,6450.000000,5750.000000,6200.000000,5816.727051,750700
2018-07-11,6100.000000,6650.000000,5800.000000,6575.000000,6168.545410,663600
2018-07-12,6625.000000,6850.000000,6400.000000,6450.000000,6051.272949,431700
2018-07-13,6500.000000,6700.000000,6175.000000,6475.000000,6074.727051,780300
2018-07-16,6475.000000,6475.000000,6100.000000,6200.000000,5816.727051,186100
2018-07-17,6200.000000,6350.000000,6050.000000,6075.000000,5699.454590,148400
2018-07-18,6075.000000,7275.000000,6075.000000,7275.000000,6825.272949,12275500
2018-07-19,7375.000000,7975.000000,5825.000000,5950.000000,5582.181641,24605500
2018-07-20,5950.000000,6250.000000,5450.000000,6000.000000,5629.090820,2541300
2018-07-23,6000.000000,6200.000000,5725.000000,5950.000000,5582.181641,1410400
2018-07-24,5975.000000,6125.000000,5800.000000,5925.000000,5558.727051,1170400
2018-07-25,5975.000000,6000.000000,5775.000000,5875.000000,5511.818359,824200
2018-07-26,5950.000000,6650.000000,5850.000000,6650.000000,6238.909180,4603000
2018-07-27,6650.000000,6900.000000,6350.000000,6750.000000,6332.727051,2483800
2018-07-30,6800.000000,6875.000000,6625.000000,6875.000000,6450.000000,1025400
2018-07-31,6900.000000,6950.000000,6550.000000,6700.000000,6285.818359,1788500
2018-08-01,6800.000000,7550.000000,6750.000000,7425.000000,6966.000000,3462800
2018-08-02,7550.000000,7675.000000,6750.000000,6950.000000,6520.363770,2157700
2018-08-03,6900.000000,6950.000000,6700.000000,6775.000000,6356.181641,623800
2018-08-06,6800.000000,7025.000000,6725.000000,6925.000000,6496.909180,537300
2018-08-07,6925.000000,7025.000000,6700.000000,6775.000000,6356.181641,456000
2018-08-08,6825.000000,6875.000000,6550.000000,6850.000000,6426.545410,826400
2018-08-09,6850.000000,7200.000000,6700.000000,6800.000000,6379.636230,1188900
2018-08-10,6825.000000,6925.000000,6700.000000,6700.000000,6285.818359,359400
2018-08-13,6700.000000,6700.000000,6150.000000,6250.000000,5863.636230,974100
2018-08-14,6250.000000,6400.000000,5850.000000,6100.000000,5722.909180,1032500
2018-08-15,6000.000000,6200.000000,5925.000000,6150.000000,5769.818359,518100
2018-08-16,6200.000000,6275.000000,6025.000000,6100.000000,5722.909180,419500
2018-08-17,6100.000000,6100.000000,6100.000000,6100.000000,5722.909180,0
2018-08-20,6150.000000,6200.000000,6075.000000,6075.000000,5699.454590,216800
2018-08-21,6075.000000,6125.000000,5925.000000,6000.000000,5629.090820,348700
2018-08-22,6000.000000,6000.000000,6000.000000,6000.000000,5629.090820,0
2018-08-23,6050.000000,6150.000000,5850.000000,6150.000000,5769.818359,346600
2018-08-24,6150.000000,6200.000000,5950.000000,6100.000000,5722.909180,245700
2018-08-27,6200.000000,6250.000000,6000.000000,6000.000000,5629.090820,288500
2018-08-28,6000.000000,6075.000000,5950.000000,6000.000000,5629.090820,127400
2018-08-29,6000.000000,6075.000000,5900.000000,5975.000000,5605.636230,221400
2018-08-30,6150.000000,6425.000000,6075.000000,6250.000000,5863.636230,463900
2018-08-31,6200.000000,6200.000000,5950.000000,6200.000000,5816.727051,130400
2018-09-03,6200.000000,6200.000000,6000.000000,6100.000000,5722.909180,159500
2018-09-04,6000.000000,6075.000000,5900.000000,5925.000000,5558.727051,246600
2018-09-05,5900.000000,5900.000000,5025.000000,5500.000000,5160.000000,924200
2018-09-06,5500.000000,5500.000000,5300.000000,5450.000000,5113.090820,214400
2018-09-07,5500.000000,5500.000000,5425.000000,5450.000000,5113.090820,79300
2018-09-10,5450.000000,5650.000000,5250.000000,5325.000000,4995.818359,90800
2018-09-11,5325.000000,5325.000000,5325.000000,5325.000000,4995.818359,0
2018-09-12,5250.000000,5400.000000,5175.000000,5175.000000,4855.090820,166200
